date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol,sector
2021-03-26,215.119995,218.690002,214.139999,218.529999,218.529999,2538000.0,2538000.0,3.41,1.585,217.12,"March 26, 21",0.01585,HON,Industrials
2021-03-25,212.210007,214.050003,208.25,213.880005,213.880005,2217500.0,2217500.0,1.67,0.787,212.06,"March 25, 21",0.00787,HON,Industrials
2021-03-24,209.960007,215.050003,209.889999,212.220001,212.220001,2562100.0,2562100.0,2.25999,1.076,212.38667,"March 24, 21",0.01076,HON,Industrials
2021-03-23,210.419998,212.350006,207.869995,208.589996,208.589996,1913800.0,1913800.0,-1.83,-0.87,209.60333,"March 23, 21",-0.0087,HON,Industrials
2021-03-22,211.110001,212.679993,209.529999,212.130005,212.130005,3306500.0,3306500.0,1.02,0.483,211.44667,"March 22, 21",0.00483,HON,Industrials
2021-03-19,215.369995,215.589996,212.169998,212.910004,212.910004,9429900.0,9429900.0,-2.45999,-1.142,213.55667,"March 19, 21",-0.01142,HON,Industrials
2021-03-18,213.5,219.0,213.179993,215.020004,215.020004,4292700.0,4292700.0,1.52,0.712,215.73333,"March 18, 21",0.00712,HON,Industrials
2021-03-17,213.5,214.429993,211.940002,213.029999,213.029999,2728800.0,2728800.0,-0.47,-0.22,213.13333,"March 17, 21",-0.0022,HON,Industrials
2021-03-16,216.360001,216.470001,211.410004,211.809998,211.809998,2569000.0,2569000.0,-4.55,-2.103,213.23,"March 16, 21",-0.02103,HON,Industrials
2021-03-15,213.710007,217.0,212.699997,216.199997,216.199997,2561000.0,2561000.0,2.48999,1.165,215.3,"March 15, 21",0.01165,HON,Industrials
2021-03-12,213.289993,215.389999,213.199997,214.380005,214.380005,1838800.0,1838800.0,1.09001,0.511,214.32333,"March 12, 21",0.00511,HON,Industrials
2021-03-11,211.789993,214.759995,211.199997,212.5,212.5,2959100.0,2959100.0,0.71001,0.335,212.82,"March 11, 21",0.00335,HON,Industrials
